seed,attraction,nn_mean,densvar_mean,lcf_mean,nclusters_mean,lcf_time_std,runtime_sec
0,0.0,0.028875738966984782,1.273777777775513,0.2911666666666667,31.15,0.1058262464818839,4.917988061904907
1,0.0,0.028759142029950207,1.3248888888865333,0.32966666666666666,29.45,0.10697299763128179,4.800364017486572
2,0.0,0.02871171195282462,1.3368888888865122,0.306,31.65,0.11966898790692043,4.7240869998931885
3,0.0,0.029084678663564317,1.3253333333309774,0.3385,31.15,0.12789524793534923,4.701812028884888
4,0.0,0.0288375872431103,1.32444444444209,0.2808333333333334,29.9,0.08439901921494376,4.710373163223267
5,0.0,0.028665413633297786,1.348888888886491,0.3123333333333333,32.4,0.11593628518381216,4.810930252075195
6,0.0,0.028948747631436483,1.3408888888865051,0.2833333333333333,32.75,0.13981336766481872,4.7018561363220215
7,0.0,0.02926078562873698,1.2999999999976888,0.3156666666666667,30.85,0.14115436782315863,4.706834077835083
8,0.0,0.029142490857981086,1.2982222222199145,0.33366666666666667,29.9,0.13261850046907733,4.732246160507202
9,0.0,0.029154572871720456,1.3502222222198217,0.34983333333333333,30.9,0.16573564962178644,4.704624891281128
0,0.02,0.028965844357362443,1.3053333333310129,0.3556666666666667,32.05,0.12581776945690584,4.711488962173462
1,0.02,0.028857050829870928,1.3528888888864838,0.39349999999999996,31.95,0.15583992855918963,4.63181471824646
2,0.02,0.028827756512770218,1.3808888888864341,0.38416666666666666,33.35,0.13382772923094494,4.591259241104126
3,0.02,0.028526856887670777,1.4102222222197152,0.44283333333333336,31.45,0.14605278726086218,4.610822916030884
4,0.02,0.02891661024737429,1.3439999999976107,0.32999999999999996,30.25,0.14675376201878665,4.907294034957886
5,0.02,0.02857612854624599,1.360444444442026,0.40750000000000003,31.55,0.12989258382730454,4.93572998046875
6,0.02,0.02879798068696756,1.3582222222198077,0.4051666666666667,31.6,0.1177118657287078,4.85704493522644
7,0.02,0.028806010397158292,1.3697777777753424,0.35633333333333334,32.7,0.1451814956069356,4.747081995010376
8,0.02,0.028445451401759504,1.4124444444419335,0.4241666666666667,31.9,0.14337935307738311,4.8205249309539795
9,0.02,0.028837567039290146,1.327999999997639,0.39899999999999997,30.7,0.1084799008521343,4.882491111755371
0,0.04,0.01877936345041366,4.5791111111029705,0.9343333333333333,14.75,0.016603212540549694,4.80227518081665
1,0.04,0.019415949631747236,4.498222222214226,0.9238333333333332,16.8,0.013955285736952854,4.740263938903809
2,0.04,0.019279195013826335,4.354666666658926,0.9223333333333332,16.45,0.019295940851208414,4.7413928508758545
3,0.04,0.01889862850166859,4.593777777769612,0.9269999999999999,16.15,0.02323550922379127,4.743152141571045
4,0.04,0.01877136015932943,4.530222222214169,0.929,16.05,0.018260461233069784,4.740672588348389
