attraction,nn_mean_mean,nn_mean_std,densvar_mean_mean,densvar_mean_std,lcf_mean_mean,lcf_mean_std,nclusters_mean_mean,nclusters_mean_std,lcf_time_std_mean,lcf_time_std_std,runtime_sec_mean,runtime_sec_std
0.0,0.0289440869479607,0.00020699690107421896,1.3223555555532047,0.024713713336606814,0.3141,0.02391603109234213,31.009999999999998,1.0720696494786774,0.12400206699330325,0.022725105583139064,4.751111578941345,0.07116158515996178
0.02,0.028755725690647015,0.00017556485292342705,1.3622222222198004,0.03346246592094523,0.38983333333333337,0.03421211972097709,31.75,0.8894442709417569,0.13529371756191547,0.014838388212734933,4.769555282592774,0.1288528410806672
0.04,0.019206455003017008,0.00045639144521513885,4.534933333325272,0.1838789128617416,0.9253333333333333,0.006364445996275436,16.369999999999997,1.1487190934060225,0.019744457442036192,0.0036902876009001543,4.751279973983765,0.022459938312119013
0.06,0.01372136610654035,0.00015921862924767624,8.216533333318726,0.12558923179945383,0.9743833333333335,0.0027733854161776476,6.92,0.6005552985917837,0.009676738121219773,0.0017040856496176983,4.849630236625671,0.07578593846717807
0.08,0.011340834085830307,0.00011710688803842779,11.22942222220226,0.20726246787514835,0.9875666666666666,0.0016371459658748447,4.18,0.3780064667289288,0.006260132926149313,0.0012812330925097747,4.9095619201660154,0.06361935463996779
0.1,0.010400130189221207,0.0010660309109276165,13.243911111087566,1.7904218236801466,0.9595166666666666,0.104838366186675,3.325,1.2072121234940905,0.005291186984575558,0.0006717457125001169,4.786634349822998,0.0251074430398402
0.12,0.009496639955151303,0.0009710549398119552,15.476311111083598,2.116615493885289,0.9626499999999998,0.10183615047324734,2.695,0.9010641856530903,0.0042224906170452116,0.0006992197503961386,4.862799906730652,0.06682527422090072
0.14,0.008535031926716258,9.409983093903535e-05,18.28844444441193,0.23680813021258462,0.9963666666666666,0.001059349905471443,2.02,0.26894857005259076,0.00343954488130258,0.0008333910413757523,4.883887982368469,0.07919364736741275
0.16,0.008093313053180154,0.00013018728904919496,20.104044444408707,0.5239887306499377,0.9926666666666666,0.014833853507317103,1.765,0.1841647812874836,0.01689412821955812,0.043536483757183775,4.8534462451934814,0.04776032285084956
0.18,0.007681183892749413,6.179867923099895e-05,22.05764444440523,0.43426642432612544,0.9957166666666666,0.007427862959704386,1.5550000000000002,0.16741498671796912,0.012512201977038178,0.03147304983745051,4.9787315130233765,0.078581376831893
0.2,0.007653889943726608,0.000748911476587486,22.69799999995965,2.8303882423028663,0.9550666666666666,0.09944640593968683,1.675,0.6138448953567632,0.02873896973183502,0.060968464393208494,4.821053481101989,0.08092752848531648
