seed,noise,nn_mean,densvar_mean,lcf_mean,nclusters_mean,lcf_time_std,runtime_sec
0,0.0,0.010486196113160807,23.54577777773592,0.6666666666666665,2.0,1.1102230246251565e-16,5.380066871643066
1,0.0,0.010459469404548446,23.36711111106957,0.6799999999999999,2.0,1.1102230246251565e-16,5.231519937515259
2,0.0,0.010608851779392112,21.506666666628426,0.6033333333333334,2.0,0.0,5.340117931365967
3,0.0,0.010592123621908426,21.66666666662815,0.5166666666666668,2.0,1.1102230246251565e-16,5.59496283531189
4,0.0,0.010235080385002666,25.48177777773248,0.8066666666666666,2.0,0.0,5.647685766220093
5,0.0,0.01048441223464268,23.771999999957742,0.7166666666666667,2.0,0.0,5.476265907287598
6,0.0,0.009183151681061829,31.948888888832094,1.0,1.0,0.0,6.0551018714904785
7,0.0,0.00920015819529522,31.48444444438847,1.0,1.0,0.0,5.576995849609375
8,0.0,0.010501928681246095,23.735111111068914,0.6666666666666665,2.0,1.1102230246251565e-16,5.424142837524414
9,0.0,0.00927707374669104,32.39333333327575,1.0,1.0,0.0,5.342747926712036
0,0.01,0.005961337982215164,27.940444444394767,1.0,1.0,0.0,5.307162761688232
1,0.01,0.007296706180520271,19.887555555520198,0.6966666666666668,2.0,1.1102230246251565e-16,5.393674850463867
2,0.01,0.005896134953282145,28.168444444394368,1.0,1.0,0.0,5.448374032974243
3,0.01,0.007300201415297344,18.287555555523046,0.5466666666666666,2.0,0.0,5.326076984405518
4,0.01,0.007257470656289231,19.12844444441044,0.6266666666666667,2.0,0.0,5.469192981719971
5,0.01,0.007110410874754685,19.84266666663139,0.6999999999999998,2.0,1.1102230246251565e-16,5.294498682022095
6,0.01,0.0060134346861627705,27.89333333328375,0.9998333333333334,1.05,0.0007264831572567715,5.729550123214722
7,0.01,0.005887968340204257,27.98355555550581,1.0,1.0,0.0,5.39919114112854
8,0.01,0.006029972853364226,27.813777777728337,1.0,1.0,0.0,5.366528034210205
9,0.01,0.006017869375894174,27.517333333284416,1.0,1.0,0.0,5.335817098617554
0,0.02,0.008052410834422643,19.027111111077282,0.999,1.3,0.001527525231651931,5.441009044647217
1,0.02,0.010376015116594205,11.926666666645465,0.6581666666666667,3.2,0.0026822461565718645,5.477293968200684
2,0.02,0.010499795278036465,11.907111111089945,0.6643333333333332,3.3,0.0036666666666666757,5.574163198471069
3,0.02,0.00947770128526253,13.919555555530811,0.7301666666666666,2.55,0.24142050681562063,5.631666898727417
4,0.02,0.010560477021709033,11.612444444423799,0.6223333333333334,3.6,0.0031797973380564906,5.3981850147247314
5,0.02,0.007852994731172286,19.049777777743913,0.9981666666666665,1.55,0.0022298480267099433,5.328732013702393
6,0.02,0.008051418752372504,19.08355555552163,0.9971666666666665,1.8,0.0028431203515386708,5.361958026885986
7,0.02,0.008005640637363542,19.23866666663246,0.9986666666666666,1.4,0.0019436506316150956,5.3376851081848145
8,0.02,0.008032493375445635,19.228888888854705,0.9981666666666668,1.55,0.0028819360776317685,5.320056200027466
9,0.02,0.008001567992979373,18.419111111078365,0.999,1.3,0.002380476142847613,5.24640417098999
0,0.03,0.011311062012901923,11.252444444424437,0.9869999999999999,4.15,0.005953523699830586,5.681886911392212
1,0.03,0.01127764932633879,11.30844444442434,0.9889999999999999,3.95,0.00615539510420647,5.484853982925415
2,0.03,0.011233568341873801,11.077777777758085,0.9894999999999999,3.75,0.0057999042137684455,5.520874977111816
3,0.03,0.011107658524326793,11.404888888868616,0.9891666666666664,3.6,0.007808471183414998,5.441135883331299
4,0.03,0.011323646300783839,11.425333333313024,0.9866666666666667,4.45,0.005477225575051663,5.487504720687866
5,0.03,0.011344088035343411,11.294222222202144,0.9886666666666665,3.95,0.005617433182117576,5.759806156158447
6,0.03,0.011446662392897204,11.058222222202563,0.9846666666666664,4.85,0.006944222218666542,5.47827410697937
7,0.03,0.011416561142347573,11.486666666646247,0.9855,4.5,0.008450838222724815,5.6200268268585205
8,0.03,0.01148120261778499,11.188444444424555,0.9883333333333333,4.35,0.0038729833462074112,5.242995023727417
9,0.03,0.011466242163704751,10.797777777758581,0.9871666666666666,4.25,0.006521332515504618,5.5803751945495605
0,0.04,0.016820908664767396,5.802222222211908,0.9489999999999998,12.1,0.01502220578565834,5.269360065460205
1,0.04,0.016948414450403387,5.681777777767676,0.9433333333333334,12.6,0.016193277068654817,5.430427312850952
2,0.04,0.01701557371325956,5.55555555554568,0.9438333333333334,12.15,0.026568046806476227,5.534555912017822
3,0.04,0.01685920523304481,5.723111111100938,0.9458333333333332,12.45,0.021778557242286636,5.4484171867370605
4,0.04,0.017032736605246575,5.734666666656472,0.9441666666666666,13.4,0.016120208159670614,5.367552995681763
5,0.04,0.01712269443643454,5.760444444434204,0.9460000000000001,12.8,0.018245242911205356,5.596571207046509
6,0.04,0.017496936676598306,5.503999999990215,0.9475,13.0,0.016695807857064007,5.291136980056763
7,0.04,0.017423032342697563,5.76355555554531,0.9465,12.65,0.011994211566881392,5.269536018371582
8,0.04,0.01721692007966923,5.953777777767193,0.9468333333333332,12.45,0.020370866997313154,5.208024978637695
9,0.04,0.017266641040331564,5.513333333323533,0.9458333333333334,11.8,0.022946193099897375,5.174113035202026
0,0.05,0.026997416811660672,1.875555555552221,0.727,30.4,0.07770957326982164,5.234888076782227
1,0.05,0.027494167682030397,1.7542222222191035,0.7133333333333334,30.95,0.08348652585896721,5.378368854522705
2,0.05,0.027624128877692694,1.636888888885979,0.6608333333333334,31.1,0.12771006660052728,5.634591102600098
